Campus,StudyField,Branch,Role,EduLevel,ProgLang,Databases,Platform,WebFramework,Industry,AISearch,AITool,Employment
Nelson Mandela Bay Campus,It,"I Used To Be A Developer By Profession, But No Longer Am",Security Professional,"Master’s Degree (M.a., M.s., M.eng., Mba, Etc.)",Python,Cosmos Db,Microsoft Azure,Spring Boot,"Manufacturing, Transportation, Or Supply Chain",Chatgpt,Adrenaline;Aws Codewhisperer;Codeium;Mintlify;Rubber Duck.ai;Synk Code;Tabnine,"Employed, Full-Time"
Midrand Campus,Computer Science,I Am A Developer By Profession,"Developer, Full-Stack","Bachelor’s Degree (B.a., B.s., B.eng., Etc.)",C++;Html/Css;Javascript;Php;Typescript,Elasticsearch;Firebase Realtime Database;Mysql,Firebase;Google Cloud;Netlify,Laravel;Symfony;Vue.js,Legal Services,Unknown,Aws Codewhisperer;Github Copilot;Mintlify;Tabnine,"Employed, Full-Time"
Pretoria Campus,Data Science,I Am A Developer By Profession,"Developer, Full-Stack","Bachelor’s Degree (B.a., B.s., B.eng., Etc.)",Bash/Shell (All Shells);Elixir;Html/Css;Javascript;Powershell;Python;Rust;Sql;Typescript,Cloud Firestore;Firebase Realtime Database;Postgresql;Redis;Sqlite,Cloudflare;Firebase;Google Cloud,Next.js;Phoenix;React,Oil & Gas,Chatgpt;Phind,Aws Codewhisperer;Synk Code;Whispr Ai,"Employed, Full-Time"
Durban Campus,Data Science,I Am A Developer By Profession,"Developer, Full-Stack","Master’s Degree (M.a., M.s., M.eng., Mba, Etc.)",Dart;Html/Css;Java;Javascript;Php;Sql,Elasticsearch;Firebase Realtime Database;Mysql;Redis;Sqlite,Cloudflare;Firebase,Jquery;Node.js;Spring Boot;Vue.js,Retail And Consumer Services,Chatgpt,Codeium;Github Copilot;Replit Ghostwriter;Tabnine,"Employed, Full-Time"
Durban Campus,It,I Code Primarily As A Hobby,Unknown,"Secondary School (E.g. American High School, German Realschule Or Gymnasium, Etc.)",Html/Css;Java;Kotlin;Typescript,Mongodb,Unknown,Angular;Node.js;Spring Boot,Wholesale,Chatgpt,Aws Codewhisperer;Codeium;Github Copilot;Mintlify;Replit Ghostwriter;Tabnine;Whispr Ai,"Student, Full-Time"
Pretoria Campus,Computer Science,I Am A Developer By Profession,"Developer, Back-End","Master’s Degree (M.a., M.s., M.eng., Mba, Etc.)",Python,Mysql;Postgresql;Sqlite,Unknown,Django,"Manufacturing, Transportation, Or Supply Chain",Chatgpt,Codeium;Github Copilot;Tabnine,"Employed, Full-Time"
Durban Campus,It,I Am A Developer By Profession,Unknown,"Associate Degree (A.a., A.s., Etc.)",Assembly;C#;Html/Css;Java;Javascript;Php;Python;Rust;Sql;Typescript,Bigquery;Dynamodb;Elasticsearch;Mariadb;Microsoft Sql Server;Mongodb;Mysql,Amazon Web Services (Aws);Google Cloud;Heroku;Oracle Cloud Infrastructure (Oci),Asp.net;Django;Next.js;Node.js;React,Healthcare,Bing Ai;Chatgpt;Wolframalpha,Adrenaline;Mintlify,"Student, Full-Time"
Pretoria Campus,Data Science,I Am A Developer By Profession,"Developer, Game Or Graphics","Master’s Degree (M.a., M.s., M.eng., Mba, Etc.)",Assembly;Bash/Shell (All Shells);C;C#;C++;Html/Css;Java;Javascript;Kotlin;Powershell;Python;Sql;Visual Basic (.Net),Microsoft Sql Server;Mongodb;Sqlite,Microsoft Azure,Node.js;React;Wordpress,Other,Bing Ai;Chatgpt,Github Copilot,"Employed, Full-Time"
Nelson Mandela Bay Campus,Computer Science,I Am A Developer By Profession,"Developer, Back-End","Bachelor’s Degree (B.a., B.s., B.eng., Etc.)",Java;Javascript;Kotlin;Ruby;Typescript,Elasticsearch;H2;Mariadb;Mongodb;Mysql;Postgresql;Redis,Amazon Web Services (Aws);Digital Ocean;Heroku;Managed Hosting;Scaleway;Vultr,Angular;Angularjs;Codeigniter;Django;Drupal;Express;Jquery;Nestjs;Spring Boot;Symfony;Wordpress,Higher Education,Chatgpt;Wolframalpha,Tabnine,"Independent Contractor, Freelancer, Or Self-Employed"
Durban Campus,Data Science,I Am A Developer By Profession,"Developer, Full-Stack","Master’s Degree (M.a., M.s., M.eng., Mba, Etc.)",C#;Html/Css;Javascript;Sql,Microsoft Sql Server,Amazon Web Services (Aws);Cloudflare,Asp.net;Asp.net Core;Jquery,Higher Education,Unknown,Rubber Duck.ai,"Employed, Full-Time"
Durban Campus,It,I Am A Developer By Profession,"Developer, Back-End","Bachelor’s Degree (B.a., B.s., B.eng., Etc.)",Bash/Shell (All Shells);Go;Html/Css;Javascript;Sql;Typescript,Postgresql;Supabase,Amazon Web Services (Aws);Cloudflare;Firebase;Vercel,Nestjs;Next.js;React,Other,Chatgpt,Mintlify;Tabnine,"Independent Contractor, Freelancer, Or Self-Employed"
Pretoria Campus,Computer Science,"I Am Not Primarily A Developer, But I Write Code Sometimes As Part Of My Work/Studies",Other (Please Specify):,"Bachelor’s Degree (B.a., B.s., B.eng., Etc.)",Html/Css;Javascript;Python;Rust;Sql,Mariadb;Mysql;Neo4j;Redis;Sqlite,Amazon Web Services (Aws),Django;Vue.js,Legal Services,Unknown,Codeium;Synk Code;Whispr Ai,"Employed, Full-Time"
Durban Campus,Data Science,"I Used To Be A Developer By Profession, But No Longer Am",Educator,"Master’s Degree (M.a., M.s., M.eng., Mba, Etc.)",Java;Kotlin;Scala;Sql,Dynamodb;Elasticsearch;Mariadb;Mongodb;Mysql;Neo4j;Postgresql;Redis,Amazon Web Services (Aws),Spring Boot,Advertising Services,Unknown,Github Copilot;Replit Ghostwriter;Tabnine,"Employed, Full-Time"
Midrand Campus,Data Science,I Am A Developer By Profession,"Developer, Full-Stack","Master’s Degree (M.a., M.s., M.eng., Mba, Etc.)",Bash/Shell (All Shells);Elixir;Html/Css;Javascript;Python;Sql;Typescript,Elasticsearch;Mysql;Postgresql;Redis;Sqlite,Amazon Web Services (Aws);Digital Ocean,Django;Fastapi;Jquery;Next.js;Node.js;Phoenix;React,Wholesale,Unknown,Adrenaline;Aws Codewhisperer;Github Copilot;Replit Ghostwriter,"Employed, Full-Time"
Durban Campus,Computer Science,I Am A Developer By Profession,"Developer, Back-End","Master’s Degree (M.a., M.s., M.eng., Mba, Etc.)",Html/Css;Javascript;Rust;Swift;Typescript,Cloud Firestore;Dynamodb;Postgresql;Supabase,Amazon Web Services (Aws);Firebase;Oracle Cloud Infrastructure (Oci);Vercel;Vultr,Express;Fastify;Node.js;Nuxt.js;Vue.js,Oil & Gas,Chatgpt,Aws Codewhisperer;Rubber Duck.ai,"Employed, Full-Time"
Nelson Mandela Bay Campus,It,I Am A Developer By Profession,Developer Experience,"Bachelor’s Degree (B.a., B.s., B.eng., Etc.)",Go;Html/Css;Java;Javascript;Sql;Typescript,Elasticsearch;H2;Mariadb;Mongodb;Mysql;Postgresql;Sqlite,Unknown,Angular;Angularjs;Deno;Nestjs;Node.js;Spring Boot,"Information Services, It, Software Development, Or Other Technology",Unknown,Aws Codewhisperer;Tabnine,"Employed, Full-Time"
Mbombela Campus,Data Science,I Am A Developer By Profession,"Developer, Full-Stack","Bachelor’s Degree (B.a., B.s., B.eng., Etc.)",Go;Javascript;Prolog;Python;Typescript,Postgresql,Amazon Web Services (Aws);Cloudflare;Google Cloud;Vercel,Next.js;Node.js;React,Higher Education,Chatgpt,Mintlify;Tabnine,"Employed, Full-Time"
Nelson Mandela Bay Campus,Computer Science,I Am A Developer By Profession,Project Manager,"Master’s Degree (M.a., M.s., M.eng., Mba, Etc.)",Html/Css;Javascript;Php;Sql;Typescript,Mysql,Unknown,Angularjs;Drupal;Laravel;React;Symfony,Insurance,Chatgpt,Aws Codewhisperer;Github Copilot;Replit Ghostwriter;Tabnine,"Employed, Full-Time"
Mbombela Campus,Computer Science,I Am A Developer By Profession,"Developer, Full-Stack","Bachelor’s Degree (B.a., B.s., B.eng., Etc.)",Bash/Shell (All Shells);C#;Javascript;Python;Sql;Typescript,Mariadb;Oracle;Postgresql;Sqlite,"Linode, Now Akamai",Asp.net Core;Blazor;Fastapi;React,Higher Education,Chatgpt,Adrenaline;Mintlify,"Employed, Full-Time;Independent Contractor, Freelancer, Or Self-Employed"
Mbombela Campus,Computer Science,I Am A Developer By Profession,"Developer, Full-Stack","Bachelor’s Degree (B.a., B.s., B.eng., Etc.)",Dart;Javascript;Python;Typescript,Cloud Firestore;Firebase Realtime Database,Cloudflare;Firebase;Google Cloud;Vmware,Flask;Node.js,Retail And Consumer Services,Chatgpt,Mintlify,"Independent Contractor, Freelancer, Or Self-Employed"
Durban Campus,Computer Science,I Am A Developer By Profession,"Developer, Full-Stack",Some College/University Study Without Earning A Degree,Bash/Shell (All Shells);C#;Dart;Html/Css;Javascript;Python;Sql;Typescript,Microsoft Sql Server;Postgresql,Unknown,Nestjs;Node.js;React,Healthcare,Unknown,Aws Codewhisperer;Codeium;Tabnine;Whispr Ai,"Employed, Full-Time;Student, Full-Time"
Durban Campus,It,I Am A Developer By Profession,"Developer, Front-End","Bachelor’s Degree (B.a., B.s., B.eng., Etc.)",Bash/Shell (All Shells);C#;Haskell;Javascript;Powershell;Typescript,Microsoft Sql Server;Postgresql;Sqlite,Digital Ocean;Microsoft Azure;Netlify,Angular;Asp.net Core;Node.js,Financial Services,Unknown,Github Copilot;Tabnine;Whispr Ai,"Employed, Full-Time"
Pretoria Campus,It,I Am A Developer By Profession,Unknown,"Bachelor’s Degree (B.a., B.s., B.eng., Etc.)",Javascript;Python,Postgresql,Google Cloud,Django;Flask,Advertising Services,Unknown,Aws Codewhisperer;Tabnine,"Not Employed, And Not Looking For Work"
Mbombela Campus,Computer Science,I Am A Developer By Profession,"Developer, Full-Stack","Secondary School (E.g. American High School, German Realschule Or Gymnasium, Etc.)",C#;Html/Css;Java;Javascript;Python;Sql;Typescript,Microsoft Sql Server;Mongodb;Mysql;Redis;Sqlite,Microsoft Azure,Asp.net Core;Blazor;Django;Laravel;Node.js;Svelte,Financial Services,Chatgpt;Google Bard Ai,Adrenaline;Github Copilot;Rubber Duck.ai,"Employed, Full-Time"
Nelson Mandela Bay Campus,It,I Code Primarily As A Hobby,Unknown,"Bachelor’s Degree (B.a., B.s., B.eng., Etc.)",C;C++;Lisp;Python,Mariadb;Mysql;Postgresql,Unknown,Django,"Manufacturing, Transportation, Or Supply Chain",Unknown,Aws Codewhisperer;Codeium;Github Copilot;Mintlify;Tabnine;Whispr Ai,"Not Employed, And Not Looking For Work"
Pretoria Campus,It,I Am A Developer By Profession,"Developer, Back-End",Some College/University Study Without Earning A Degree,Bash/Shell (All Shells);C#;Html/Css;Javascript;Python;Sql,Bigquery;Mongodb;Mysql;Sqlite,Digital Ocean;Google Cloud,Django;Flask;Node.js;Wordpress,Insurance,Chatgpt;Google Bard Ai,Adrenaline;Aws Codewhisperer,"Employed, Full-Time"
Durban Campus,It,I Code Primarily As A Hobby,Unknown,Something Else,Ada;Assembly;Bash/Shell (All Shells);C;Crystal;Go;Html/Css;Java;Javascript;Matlab;Python;Ruby;Rust;Typescript,Postgresql;Supabase,Vercel,Django;Express;Svelte,Healthcare,Chatgpt,Codeium;Github Copilot;Synk Code,"Student, Full-Time"
Durban Campus,It,I Am A Developer By Profession,"Developer, Full-Stack","Bachelor’s Degree (B.a., B.s., B.eng., Etc.)",Bash/Shell (All Shells);Javascript;Julia;Lua;Ruby,Cloud Firestore;Postgresql,Firebase;Google Cloud,Ruby On Rails;Vue.js,Wholesale,Unknown,Aws Codewhisperer;Codeium;Github Copilot;Tabnine;Whispr Ai,"Employed, Full-Time"
Nelson Mandela Bay Campus,Computer Science,I Code Primarily As A Hobby,Unknown,Primary/Elementary School,Html/Css;Javascript;Lua;Python;Rust;Typescript,Mongodb;Postgresql;Sqlite;Supabase,Digital Ocean,Fastapi;Flask;Next.js;Node.js;React;Svelte,Advertising Services,Wolframalpha,Github Copilot;Replit Ghostwriter;Rubber Duck.ai;Tabnine,"Student, Full-Time"
Durban Campus,It,I Am A Developer By Profession,"Developer, Front-End","Bachelor’s Degree (B.a., B.s., B.eng., Etc.)",Html/Css;Javascript;Typescript,Postgresql,Unknown,Angular;Angularjs,"Manufacturing, Transportation, Or Supply Chain",Chatgpt,Aws Codewhisperer;Codeium;Github Copilot;Tabnine;Whispr Ai,"Employed, Full-Time"
Midrand Campus,Data Science,I Am A Developer By Profession,"Developer, Back-End","Secondary School (E.g. American High School, German Realschule Or Gymnasium, Etc.)",Html/Css;Java;Javascript;Typescript,Mariadb;Postgresql,Microsoft Azure,Jquery;Node.js;React;Spring Boot,"Manufacturing, Transportation, Or Supply Chain",Chatgpt,Adrenaline;Aws Codewhisperer,"Employed, Full-Time"
Nelson Mandela Bay Campus,Computer Science,I Am A Developer By Profession,"Developer, Back-End","Master’s Degree (M.a., M.s., M.eng., Mba, Etc.)",Bash/Shell (All Shells);Java;Javascript,H2;Mariadb;Mysql;Oracle;Postgresql,Unknown,Next.js;React;Spring Boot,Wholesale,Chatgpt,Aws Codewhisperer;Synk Code,"Employed, Full-Time"
Mbombela Campus,Computer Science,I Am A Developer By Profession,"Developer, Full-Stack","Bachelor’s Degree (B.a., B.s., B.eng., Etc.)",C#;Html/Css;Javascript;Sql;Typescript,Microsoft Sql Server;Sqlite,Microsoft Azure,Asp.net;Asp.net Core;Blazor,Legal Services,Unknown,Aws Codewhisperer;Github Copilot;Synk Code,"Employed, Full-Time"
Mbombela Campus,It,I Am A Developer By Profession,"Developer, Back-End","Bachelor’s Degree (B.a., B.s., B.eng., Etc.)",C#;Sql;Typescript,Cosmos Db;Microsoft Sql Server,Cloudflare;Microsoft Azure,Asp.net Core;Jquery,Legal Services,Bing Ai;Chatgpt;Wolframalpha,Aws Codewhisperer;Github Copilot,"Employed, Full-Time"
Nelson Mandela Bay Campus,Data Science,I Am A Developer By Profession,"Developer, Full-Stack","Bachelor’s Degree (B.a., B.s., B.eng., Etc.)",Html/Css;Java;Javascript;Typescript,Redis;Sqlite,Amazon Web Services (Aws),Jquery;Next.js;React,"Information Services, It, Software Development, Or Other Technology",Chatgpt,Aws Codewhisperer;Codeium;Github Copilot;Tabnine;Whispr Ai,"Employed, Full-Time"
Mbombela Campus,It,I Am Learning To Code,Unknown,Some College/University Study Without Earning A Degree,C#;Html/Css;Javascript;Php;Sql,Mysql,Google Cloud,Wordpress,Wholesale,Unknown,Adrenaline;Aws Codewhisperer;Github Copilot,"Student, Part-Time"
Durban Campus,Computer Science,I Am A Developer By Profession,"Developer, Front-End","Bachelor’s Degree (B.a., B.s., B.eng., Etc.)",Javascript;Typescript,Mongodb;Postgresql,Firebase,Express;Nestjs;Node.js;Nuxt.js;Vue.js,Oil & Gas,Chatgpt,Rubber Duck.ai,"Employed, Full-Time"
Midrand Campus,Computer Science,I Am A Developer By Profession,"Developer, Full-Stack",Some College/University Study Without Earning A Degree,C#;C++;Javascript,Microsoft Sql Server,Unknown,Asp.net;Asp.net Core;Jquery,Retail And Consumer Services,Unknown,Adrenaline,"Independent Contractor, Freelancer, Or Self-Employed"
Durban Campus,Data Science,I Am A Developer By Profession,"Developer, Desktop Or Enterprise Applications","Master’s Degree (M.a., M.s., M.eng., Mba, Etc.)",C#;Javascript,Mongodb,Microsoft Azure,React,Legal Services,Unknown,Aws Codewhisperer;Mintlify;Replit Ghostwriter;Synk Code;Tabnine,"Employed, Full-Time"
Pretoria Campus,Data Science,"I Am Not Primarily A Developer, But I Write Code Sometimes As Part Of My Work/Studies",Security Professional,"Bachelor’s Degree (B.a., B.s., B.eng., Etc.)",Bash/Shell (All Shells);Javascript;Python;Ruby;Typescript,Dynamodb;Elasticsearch;Postgresql,Amazon Web Services (Aws),Django;Express;React;Ruby On Rails,Higher Education,Unknown,Codeium;Replit Ghostwriter,"Employed, Full-Time"
Nelson Mandela Bay Campus,It,I Am A Developer By Profession,"Developer, Full-Stack","Bachelor’s Degree (B.a., B.s., B.eng., Etc.)",C#;Html/Css;Javascript;Sql;Typescript,Microsoft Sql Server,Microsoft Azure;Vultr,Angular;Asp.net;Asp.net Core,Other,Unknown,Aws Codewhisperer;Codeium;Github Copilot;Replit Ghostwriter;Tabnine,"Employed, Full-Time"
Durban Campus,Data Science,I Am A Developer By Profession,"Developer, Mobile","Bachelor’s Degree (B.a., B.s., B.eng., Etc.)",Bash/Shell (All Shells);C#;Dart;Html/Css;Javascript;Objective-C;Php;Python;Swift;Typescript,Cloud Firestore;Firebase Realtime Database;Mongodb;Mysql;Sqlite,Digital Ocean;Firebase;Google Cloud;Microsoft Azure;Vercel,Asp.net;Asp.net Core;Blazor;Express;Next.js;Node.js;Nuxt.js;Wordpress,"Manufacturing, Transportation, Or Supply Chain",Chatgpt,Adrenaline;Aws Codewhisperer;Codeium;Mintlify;Rubber Duck.ai;Synk Code;Tabnine,"Employed, Full-Time;Independent Contractor, Freelancer, Or Self-Employed"
Pretoria Campus,It,I Am A Developer By Profession,"Developer, Game Or Graphics","Bachelor’s Degree (B.a., B.s., B.eng., Etc.)",C#;C++;Html/Css;Java;Javascript;Lisp;Lua;Prolog;Python;Vba,Cloud Firestore;Mysql;Postgresql;Sqlite;Supabase,Firebase;Google Cloud;Netlify;Vercel,Blazor;Express;Jquery;Next.js;Node.js;React,Retail And Consumer Services,Bing Ai;Chatgpt;Google Bard Ai,Adrenaline;Aws Codewhisperer;Codeium;Github Copilot;Mintlify;Replit Ghostwriter;Rubber Duck.ai;Synk Code;Tabnine;Whispr Ai,"Employed, Full-Time"
Durban Campus,It,I Am A Developer By Profession,"Developer, Full-Stack","Bachelor’s Degree (B.a., B.s., B.eng., Etc.)",Bash/Shell (All Shells);C#;Html/Css;Javascript;Sql;Typescript,Microsoft Sql Server;Postgresql;Redis,Amazon Web Services (Aws),Angular;Angularjs;Asp.net Core;Nestjs;Node.js,Advertising Services,Chatgpt,Adrenaline;Tabnine,"Employed, Full-Time"
Midrand Campus,Computer Science,I Am Learning To Code,"Developer, Full-Stack","Secondary School (E.g. American High School, German Realschule Or Gymnasium, Etc.)",C;C++;Html/Css;Java;Javascript;Php;Python;Sql;Visual Basic (.Net),Mongodb;Mysql,Heroku;Netlify,Express;Node.js;React,"Manufacturing, Transportation, Or Supply Chain",Chatgpt,Aws Codewhisperer;Codeium;Github Copilot,"Independent Contractor, Freelancer, Or Self-Employed;Student, Full-Time"
Nelson Mandela Bay Campus,Computer Science,I Am A Developer By Profession,"Developer, Full-Stack","Bachelor’s Degree (B.a., B.s., B.eng., Etc.)",Bash/Shell (All Shells);C#;C++;Html/Css;Javascript;Ruby;Rust;Sql,Elasticsearch;Mariadb;Microsoft Sql Server;Mysql;Postgresql;Redis;Sqlite,Amazon Web Services (Aws);Digital Ocean,Angularjs;Node.js;Ruby On Rails,Other,Bing Ai;Chatgpt;Perplexity Ai,Replit Ghostwriter,"Employed, Full-Time;Independent Contractor, Freelancer, Or Self-Employed"
Midrand Campus,Computer Science,I Am A Developer By Profession,"Developer, Back-End",Something Else,C#;Html/Css;Javascript;Powershell;Sql;Typescript,Elasticsearch;Mariadb;Microsoft Sql Server,Google Cloud;Microsoft Azure;Vmware,Angular;Asp.net;Asp.net Core;Blazor;Node.js,Legal Services,Unknown,Codeium;Github Copilot;Synk Code,"Employed, Full-Time"
Midrand Campus,It,"I Am Not Primarily A Developer, But I Write Code Sometimes As Part Of My Work/Studies",Student,Some College/University Study Without Earning A Degree,Bash/Shell (All Shells);C;C#;C++;Html/Css;Java;Javascript;Php;Python;R;Sql,Microsoft Sql Server;Mysql;Postgresql,Google Cloud,Flask;Jquery,Legal Services,Unknown,Aws Codewhisperer;Github Copilot;Tabnine;Whispr Ai,"Independent Contractor, Freelancer, Or Self-Employed;Student, Full-Time;Employed, Part-Time"
Pretoria Campus,Computer Science,I Am A Developer By Profession,"Developer, Back-End","Bachelor’s Degree (B.a., B.s., B.eng., Etc.)",Html/Css;Java;Javascript;Php;Python;Swift,Mariadb;Mysql;Postgresql,Amazon Web Services (Aws);Google Cloud;Microsoft Azure,Express;Fastify;Flask;Node.js;Vue.js,Insurance,Unknown,Rubber Duck.ai;Synk Code,"Employed, Full-Time"
Durban Campus,Data Science,I Am A Developer By Profession,"Developer, Front-End","Master’s Degree (M.a., M.s., M.eng., Mba, Etc.)",C#;Html/Css;Javascript;Typescript,Cloud Firestore;Microsoft Sql Server;Mongodb;Postgresql,Firebase;Google Cloud;Vercel,Asp.net Core;Drupal;Jquery;Next.js;React;Wordpress,Other,Chatgpt;You.com,Github Copilot;Synk Code;Tabnine,"Employed, Full-Time;Student, Full-Time"
Durban Campus,It,I Am A Developer By Profession,"Developer, Back-End","Bachelor’s Degree (B.a., B.s., B.eng., Etc.)",C#;Javascript,Microsoft Sql Server,Microsoft Azure,Asp.net;Asp.net Core,Higher Education,Bing Ai;Chatgpt;Wolframalpha,Github Copilot;Rubber Duck.ai;Tabnine,"Employed, Full-Time"
Durban Campus,Data Science,I Am A Developer By Profession,"Developer, Full-Stack","Secondary School (E.g. American High School, German Realschule Or Gymnasium, Etc.)",C++;Html/Css;Javascript;Php;Sql,Mariadb;Mysql,Unknown,Jquery;Symfony,Retail And Consumer Services,Chatgpt,Aws Codewhisperer;Codeium;Tabnine;Whispr Ai,"Independent Contractor, Freelancer, Or Self-Employed"
Pretoria Campus,Data Science,I Am A Developer By Profession,Other (Please Specify):,Some College/University Study Without Earning A Degree,Bash/Shell (All Shells);Html/Css;Javascript;Php;Powershell;Ruby;Sql;Typescript,Mysql;Postgresql;Sqlite;Supabase,Amazon Web Services (Aws);Cloudflare;Firebase;Fly.io;Google Cloud,Deno;Express;Next.js;Node.js;React;Remix;Svelte,Legal Services,Chatgpt,Aws Codewhisperer;Github Copilot,"Employed, Full-Time"
Pretoria Campus,Data Science,I Am A Developer By Profession,Devops Specialist,"Bachelor’s Degree (B.a., B.s., B.eng., Etc.)",Bash/Shell (All Shells);Go;Html/Css;Javascript;Python;Typescript,Dynamodb;Mongodb;Mysql;Postgresql;Sqlite;Tidb,Amazon Web Services (Aws);Firebase,Django,Insurance,Chatgpt,Adrenaline;Codeium;Github Copilot,"Employed, Full-Time"
Durban Campus,It,I Am A Developer By Profession,"Developer, Full-Stack",Primary/Elementary School,Dart;Go;Html/Css;Javascript;Perl;Powershell;Python;Ruby;Sql;Typescript,Mongodb;Postgresql;Redis;Sqlite,Unknown,Django;Flask;Jquery;Node.js;React;Ruby On Rails;Wordpress,Advertising Services,Chatgpt,Aws Codewhisperer;Rubber Duck.ai,"Employed, Full-Time"
Pretoria Campus,It,I Am A Developer By Profession,"Developer, Full-Stack","Bachelor’s Degree (B.a., B.s., B.eng., Etc.)",C#;Html/Css;Javascript;Sql;Typescript,Microsoft Sql Server;Oracle,Microsoft Azure,Asp.net;Asp.net Core;Node.js;Vue.js,Healthcare,Unknown,Aws Codewhisperer;Codeium;Tabnine,"Employed, Full-Time"
Nelson Mandela Bay Campus,Data Science,I Am A Developer By Profession,Engineering Manager,"Bachelor’s Degree (B.a., B.s., B.eng., Etc.)",Bash/Shell (All Shells);C++;Html/Css;Javascript;Python;Sql;Typescript,Elasticsearch;Firebase Realtime Database;Mongodb;Postgresql;Redis;Sqlite,Amazon Web Services (Aws);Cloudflare;Firebase;Netlify;Vercel;Vultr,Angularjs;Django;Fastapi;Gatsby;React,Insurance,Bing Ai;Chatgpt,Codeium;Github Copilot;Synk Code,"Employed, Full-Time"
Nelson Mandela Bay Campus,Data Science,I Am A Developer By Profession,"Developer, Back-End","Secondary School (E.g. American High School, German Realschule Or Gymnasium, Etc.)",Go;Sql;Typescript,Postgresql,Amazon Web Services (Aws),Nestjs;Node.js,Oil & Gas,Unknown,Aws Codewhisperer;Mintlify;Replit Ghostwriter;Synk Code;Tabnine,"Independent Contractor, Freelancer, Or Self-Employed"
Durban Campus,Computer Science,I Am A Developer By Profession,"Developer, Full-Stack","Bachelor’s Degree (B.a., B.s., B.eng., Etc.)",Bash/Shell (All Shells);C#;Html/Css;Java;Javascript;Python;Scala;Sql;Typescript,Microsoft Sql Server;Mongodb;Oracle;Postgresql;Redis,Microsoft Azure;Openshift,Angular;Asp.net;Express;Fastapi;Flask;Next.js;Node.js;React;Vue.js,Wholesale,Bing Ai;Chatgpt,Github Copilot;Rubber Duck.ai;Tabnine,"Employed, Full-Time"
Pretoria Campus,It,"I Am Not Primarily A Developer, But I Write Code Sometimes As Part Of My Work/Studies","Engineer, Data","Master’s Degree (M.a., M.s., M.eng., Mba, Etc.)",Bash/Shell (All Shells);Html/Css;Javascript;Python;Rust;Sql,Mysql;Postgresql,Amazon Web Services (Aws);Heroku;Render,Django;Jquery,Advertising Services,Unknown,Adrenaline;Codeium;Github Copilot;Mintlify;Replit Ghostwriter;Rubber Duck.ai;Synk Code;Tabnine;Whispr Ai,"Not Employed, But Looking For Work"
Nelson Mandela Bay Campus,Computer Science,I Am A Developer By Profession,Other (Please Specify):,"Bachelor’s Degree (B.a., B.s., B.eng., Etc.)",Bash/Shell (All Shells);C;Dart;Html/Css;Java;Javascript;Python;Sql,H2;Postgresql,Amazon Web Services (Aws),Node.js;React;Spring Boot,Financial Services,Bing Ai;Chatgpt,Rubber Duck.ai;Tabnine,"Employed, Full-Time;Student, Part-Time"
Durban Campus,It,I Am A Developer By Profession,"Developer, Full-Stack","Bachelor’s Degree (B.a., B.s., B.eng., Etc.)",Bash/Shell (All Shells);Html/Css;Javascript;Python;Ruby;Sql,Mysql;Redis,Amazon Web Services (Aws);Heroku,React;Ruby On Rails,Oil & Gas,Unknown,Codeium;Github Copilot,"Employed, Full-Time"
Pretoria Campus,Computer Science,I Am A Developer By Profession,"Developer, Front-End",Some College/University Study Without Earning A Degree,Html/Css;Javascript;Typescript,Cloud Firestore;Firebase Realtime Database;Mongodb;Mysql;Postgresql;Snowflake,Amazon Web Services (Aws);Firebase;Heroku;Netlify;Ovh,Jquery;Next.js;Node.js;Nuxt.js;Symfony;Vue.js;Wordpress,Insurance,Chatgpt,Replit Ghostwriter;Tabnine,"Employed, Full-Time"
Mbombela Campus,Computer Science,I Am A Developer By Profession,"Developer, Full-Stack",Some College/University Study Without Earning A Degree,C;C++;Go;Html/Css;Java;Javascript;Php;Python;Solidity;Sql;Typescript,Elasticsearch;Mongodb;Mysql;Postgresql;Redis;Sqlite,Cloudflare,Django;Express;Laravel;Next.js;Node.js;React,Legal Services,Unknown,Aws Codewhisperer;Codeium;Github Copilot;Mintlify;Replit Ghostwriter;Tabnine;Whispr Ai,"Independent Contractor, Freelancer, Or Self-Employed"
Mbombela Campus,It,I Am A Developer By Profession,"Developer, Full-Stack",Some College/University Study Without Earning A Degree,Bash/Shell (All Shells);Html/Css;Javascript;Python;Ruby;Sql;Typescript,Cloud Firestore;Dynamodb;Elasticsearch;Firebase Realtime Database;Mongodb;Mysql;Neo4j;Postgresql;Redis;Supabase,"Cloudflare;Digital Ocean;Firebase;Google Cloud;Heroku;Linode, Now Akamai;Netlify",Express;Fastapi;Next.js;Node.js;React;Ruby On Rails;Solid.js;Svelte;Vue.js,Advertising Services,Chatgpt,Aws Codewhisperer;Codeium;Github Copilot,"Employed, Full-Time;Independent Contractor, Freelancer, Or Self-Employed"
Pretoria Campus,It,I Am A Developer By Profession,"Developer, Full-Stack","Bachelor’s Degree (B.a., B.s., B.eng., Etc.)",C#;Html/Css;Javascript;Powershell;Sql;Visual Basic (.Net),Microsoft Sql Server,Microsoft Azure,Asp.net;Jquery,Oil & Gas,Unknown,Github Copilot;Synk Code;Tabnine,"Employed, Full-Time"
Durban Campus,Data Science,I Am A Developer By Profession,"Developer, Back-End",Some College/University Study Without Earning A Degree,Go;Html/Css;Javascript;Sql;Typescript,Postgresql;Supabase,Unknown,Angular,Advertising Services,Unknown,Github Copilot;Synk Code;Whispr Ai,"Employed, Part-Time"
